Probe Set ID,GSM1008929_Salinity_T.CEL(normalized),GSM1008930_Salinity_C.CEL(normalized)
PsAffx.CL37Contig2_at,-0.09092116,0.09092116
PsAffx.CL39Contig1_at,-0.20499706,0.20499706
PsAffx.CL41Contig1_at,0.054035187,-0.054035187
PsAffx.CL42Contig1_s_at,0,0
PsAffx.CL43Contig1_at,0,0
PsAffx.CL44Contig1_s_at,0.18063092,-0.18063116
PsAffx.CL45Contig1_at,-0.11729479,0.11729503
PsAffx.CL46Contig1_at,0,0
PsAffx.CL47Contig1_at,0.15098524,-0.15098524
PsAffx.CL48Contig1_at,0.23320174,-0.23320198
PsAffx.CL49Contig1_at,-0.06616545,0.06616545
GmaAffx.17183.1.S1_s_at,-0.117506266,0.117506266
PsAffx.CL51Contig1_at,-0.16722345,0.16722345
PsAffx.CL52Contig1_at,0,0
GmaAffx.76373.1.S1_s_at,0.084290504,-0.084290504
PsAffx.CL54Contig1_at,0.08520222,-0.08520222
PsAffx.CL56Contig1_at,0.05403471,-0.05403495
PsAffx.CL57Contig1_at,-0.10441041,0.10441041
PsAffx.CL59Contig1_at,0.20903444,-0.20903468
PsAffx.CL60Contig1_at,-0.1953187,0.19531846
PsAffx.CL61Contig1_at,-0.19468844,0.19468856
PsAffx.CL62Contig1_at,0,0
PsAffx.CL63Contig1_at,0.11886525,-0.11886549
PsAffx.CL64Contig2_at,-0.15098524,0.15098524
PsAffx.CL66Contig7_at,0.13447762,-0.13447762
PsAffx.CL67Contig1_at,-0.26327467,0.26327467
PsAffx.CL68Contig1_at,0.03881693,-0.03881693
GmaAffx.39967.1.S1_s_at,0.08277631,-0.08277631
PsAffx.CL70Contig1_s_at,-0.2513795,0.2513795
PsAffx.CL71Contig1_at,0.05278611,-0.05278635
PsAffx.CL72Contig3_at,0.22155619,-0.22155619
PsAffx.CL72Contig2_at,-0.25990224,0.25990224
PsAffx.CL73Contig1_at,0,0
PsAffx.CL74Contig1_at,0.08520222,-0.08520222
PsAffx.CL74Contig2_at,0.13852906,-0.13852906
PsAffx.CL75Contig1_at,-0.12994385,0.12994385
PsAffx.CL75Contig2_at,0.061585665,-0.061585903
PsAffx.CL76Contig1_at,-0.15241885,0.15241861
PsAffx.CL76Contig2_at,-0.022756577,0.022756577
PsAffx.CL77Contig1_s_at,0.007338285,-0.007338285
PsAffx.CL77Contig2_at,-0.15408397,0.15408397
PsAffx.CL78Contig1_at,-0.043308496,0.043308496
