geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma01g00670.1|PACid:16242934,321,7.101,278,6.12,312,5.543,437,5.998
Glyma01g00680.1|PACid:16242935,786,29.626,442,16.58,296,8.96,669,15.645
Glyma01g00690.1|PACid:16242936,479,14.559,518,15.668,528,12.888,697,13.144
Glyma01g00690.2|PACid:16242937,248,9.137,302,11.073,281,8.315,431,9.853
Glyma01g00710.1|PACid:16242939,38,3.133,146,11.978,64,4.237,189,9.667
Glyma01g00720.1|PACid:16242940,282,3.482,503,6.181,420,4.165,637,4.88
Glyma01g00730.1|PACid:16242941,130,6.233,699,33.351,45,1.733,1042,30.996
Glyma01g00730.2|PACid:16242942,182,8.726,739,35.26,65,2.503,1071,31.859
Glyma01g00730.3|PACid:16242943,140,6.712,716,34.162,95,3.658,1204,35.815
Glyma01g00730.4|PACid:16242944,147,7.691,608,31.658,36,1.513,933,30.288
Glyma01g00740.1|PACid:16242945,1884,178.413,1364,128.546,1426,108.453,1918,112.693
Glyma01g00740.2|PACid:16242946,1880,178.034,1368,128.923,1456,110.734,1916,112.576
Glyma01g00750.1|PACid:16242947,26,0.56,25,0,41,0.709,22,0.294
Glyma01g00760.1|PACid:16242948,619,32.387,896,46.655,829,34.835,1335,43.338
Glyma01g00760.2|PACid:16242949,580,30.347,906,47.175,762,32.02,1331,43.208
Glyma01g00770.1|PACid:16242950,151,26.216,0,0,10,1.394,16,1.723
Glyma01g00780.1|PACid:16242951,102,5.337,46,2.395,50,2.101,55,1.785
Glyma01g00790.1|PACid:16242952,32,0.5,48,0.746,56,0.702,48,0.465
Glyma01g00810.1|PACid:16242954,8,0,13,0,21,0,13,0.88
Glyma01g00820.1|PACid:16242955,496,16.192,489,15.887,865,22.679,473,9.581
Glyma01g00830.1|PACid:16242956,144,2.423,5,0.084,3,0.041,5,0.052
Glyma01g00840.1|PACid:16242957,78,2.865,6,0,2,0,2,0
Glyma01g00840.2|PACid:16242958,47,2.172,0,0,0,0,0,0
Glyma01g00840.3|PACid:16242959,56,2.449,5,0.218,0,0,0,0
Glyma01g00840.4|PACid:16242960,78,3.227,2,0,4,0,2,0
Glyma01g00850.1|PACid:16242961,275,5.026,224,4.074,473,6.942,533,6.044
Glyma01g00860.1|PACid:16242962,114,9.071,142,11.245,201,12.845,322,15.897
Glyma01g00860.2|PACid:16242963,35,3.487,36,3.57,37,2.961,66,4.08
Glyma01g00860.3|PACid:16242964,27,3.257,34,4.081,24,2.325,45,3.368
Glyma01g00870.1|PACid:16242965,1616,34.291,1361,28.741,1007,17.161,1951,25.686
Glyma01g00870.2|PACid:16242966,759,23.008,779,23.5,525,12.781,1204,22.645
Glyma01g00880.1|PACid:16242967,219,5.552,39,0.984,51,1.038,48,0.755
Glyma01g00890.1|PACid:16242968,288,7.621,5,0,4,0,7,0
Glyma01g00900.1|PACid:16242969,6,0.342,15,0.851,9,0.412,15,0.531
Glyma01g00910.1|PACid:16242970,42,1.146,15,0.407,8,0,18,0.305
Glyma01g00930.1|PACid:16242972,78,4.754,139,8.431,71,3.475,114,4.311
Glyma01g00940.1|PACid:16242973,1834,32.232,1108,19.379,2273,32.082,2164,23.596
Glyma01g00950.1|PACid:16242974,207,31.626,106,16.117,158,19.387,134,12.702
Glyma01g00960.1|PACid:16242975,688,13.183,769,14.664,698,10.741,1083,12.875
Glyma01g00960.2|PACid:16242976,372,8.789,338,7.947,393,7.457,532,7.798
Glyma01g00960.3|PACid:16242977,403,8.898,468,10.283,447,7.926,521,7.137
Glyma01g00980.1|PACid:16242979,361,5.197,273,3.911,459,5.306,369,3.296
Glyma01g00990.1|PACid:16242980,575,4.606,869,6.928,891,5.733,1198,5.955
Glyma01g01000.1|PACid:16242981,383,6.19,915,14.717,409,5.309,1734,17.387
Glyma01g01000.2|PACid:16242982,195,3.913,345,6.89,222,3.578,645,8.031
Glyma01g01010.1|PACid:16242983,34,1.025,0,0,0,0,9,0.168
Glyma01g01010.2|PACid:16242984,62,2.041,6,0,2,0,13,0.266
Glyma01g01020.1|PACid:16242985,868,46.695,949,50.806,1207,52.147,1625,54.239
Glyma01g01030.1|PACid:16242986,53,1.507,8,0,2,0,4,0
Glyma01g01040.1|PACid:16242987,3,0,0,0,1,0,0,0
Glyma01g01050.1|PACid:16242988,8,0.266,1,0,1,0,6,0.124
Glyma01g01060.1|PACid:16242989,467,10.767,252,5.782,205,3.796,458,6.552
Glyma01g01060.2|PACid:16242990,218,6.471,117,3.456,105,2.503,223,4.107
Glyma01g01060.3|PACid:16242991,475,10.951,235,5.392,226,4.185,453,6.48
Glyma01g01070.1|PACid:16242992,51,1.176,29,0.665,26,0.481,29,0.415
Glyma01g01080.1|PACid:16242993,340,3.88,354,4.021,207,1.897,376,2.662
Glyma01g01090.1|PACid:16242994,10,0,37,0.417,29,0.264,55,0.387
Glyma01g01110.1|PACid:16242996,130,7.411,148,8.396,115,5.265,252,8.913
Glyma01g01120.1|PACid:16242997,509,7.829,59,0.903,56,0.692,71,0.678
